"filename", "language", "XML", "Groovy", "JSON with Comments", "kotlin", "JSON", "Dart", "Properties", "Markdown", "YAML", "JavaScript", "HTML", "C++", "Swift", "Shell Script", "comment", "blank", "total"
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 14, 24
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/homePageMobile.dart", "Dart", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 159
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/homePageTab.dart", "Dart", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 159
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/profile/profilePage.dart", "Dart", 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 160
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/profile/profilePageProvider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/profile/profilePageTab.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/profile/settings/settingsPage.dart", "Dart", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 208
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/profile/settings/settingsProvider.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 41, 15, 125
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/record/recordPage.dart", "Dart", 0, 0, 0, 0, 0, 363, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 379
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/record/recordPageProvider.dart", "Dart", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 17, 11, 125
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/record/recordPageTab.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/recordings/recordingsPage.dart", "Dart", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 76
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/recordings/recordingsPageProvider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/recordings/recordingsPageTab.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/recordings/transcriptionPages/editingPages/speakerEdit/transcriptionEditPage.dart", "Dart", 0, 0, 0, 0, 0, 709, 0, 0, 0, 0, 0, 0, 0, 0, 67, 46, 822
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/recordings/transcriptionPages/editingPages/speakerEdit/transcriptionEditProvider.dart", "Dart", 0, 0, 0, 0, 0, 453, 0, 0, 0, 0, 0, 0, 0, 0, 65, 57, 575
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/recordings/transcriptionPages/editingPages/textEdit/transcriptionTextEditPage.dart", "Dart", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 174
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/pages/home/recordings/transcriptionPages/editingPages/textEdit/transcriptionTextEditProvider.dart", "Dart", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 122
