"filename", "language", "YAML", "Dart", "JSON with Comments", "JSON", "Markdown", "Groovy", "Properties", "XML", "kotlin", "Swift", "JavaScript", "TypeScript", "GraphQL", "HTML", "Shell Script", "Ruby", "C", "comment", "blank", "total"
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/amplify/backend/tags 3.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/amplify/backend/tags 4.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/amplify/backend/tags.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/amplify/backend/types/amplify-dependent-resources-ref.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 58
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/amplify/cli.json", "JSON", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/amplify/team-provider-info.json", "JSON", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 80
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/google-services.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 56
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/kotlin/com/example/transscriber/MainActivity.kt", "kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/android/settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/assets/json/settings.json", "JSON with Comments", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/assets/json/userData.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/ios/Flutter/Flutter 2.podspec", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 6, 2, 19
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/ios/Flutter/Flutter 3.podspec", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 6, 2, 19
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/ios/Flutter/flutter_export_environment 2.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 1, 14
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/ios/Flutter/flutter_export_environment 3.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 1, 15
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/ios/Flutter/flutter_export_environment 4.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 1, 15
"/Users/joakimrosenfeldtpedersen/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
